<#f0f000>:Special Moves:</>
Roll Forward			[~F]
Roll Backward			[~B]
Jaguar Avalanche			_D_F_D_F^A/^B_+^B/^C
MAX Jaguar Bared Assault			_D_F_D_F^X/^Y_+^Y/^Z
MAX Jaguar Revolver			_D_B_D_B^A/^B_+^B/^C
Jaguar Bared Assault			_D_F_D_F^X/^Y/^Z
Jaguar Revolver			_D_B_D_B^A/^B/^C
EX Jaguar Kick			_B_D_B^A/^B_+^B/^C
EX Airborne Jaguar Kick			_QCB^A/^B_+^B/^C
EX Rising Jaguar			_F_D_F^A/^B_+^B/^C
EX Jaguar Tooth			_F_D_B^A/^B_+^B/^C
EX Thosand Jaguar (HCB)			_F_D_B^X/^Y_+^Y/^Z
Jaguar Kick			_B_D_B^A/^B/^C
Airbourne Jaguar Kick			_D_B^A/^B/^C
Rising Jaguar			_F_D_F^A/^B/^C
Jaguar Tooth			_F_D_B^A/^B/^C
Thosand Jaguar (HCB)			_F_D_B^X/^Y/^Z
Zero Counter			_QBD^X/^Y/^Z
Power Charge			[^B]
Throw			[~F]
Air Throw			[~F]
Crouching Heavy Punch			[~D]
Crouching Heavy Kick			[~D]
Crouching Medium Punch			[~D]
Crouching Medium Kick			[~D]
Crouching Light Punch			[~D]
Crouching Light Kick			[~D]
