<#f0f000>:Special Moves:</>
Shun Goku Satsu			^X^X_F_+^A_+^Z
Ashura Senku			_DSF^X_+^Y_+^Z
Goushouryuken3			_DSF^Z
Goushouryuken2			_DSF^Y
Goushouryuken			_DSF^X
Hyakkishu			_DSF^A/^B/^C
Zanku Hadouken			_QCF^X/^Y/^Z
Gouhadouken			_QCF^X/^Y/^Z
Zero Counter			_QBD^X/^Y/^Z
Throw			[~F ~F]
Roll Forward			[~F ~F]
Roll Back			[~B ~B]
Power Charge			[^B]
Crouching Light Punch			[~D ~D]
Crouching Medium Punch			[~D ~D]
Crouching Strong Punch			[~D ~D]
Crouching Light Kick			[~D ~D]
Crouching Medium Kick			[~D ~D]
Crouching Strong Kick			[~D ~D]
