<#f0f000>:Special Moves:</>
Discover integrators			_QCF_D_DF^X/^Y/^Z_+^A/^B/^C
Darkness Illusion			_QCF_QCF^A/^B/^C_+^B/^C/^A
?????			_QCF_D_DF^A
?????			_QCF_D_DF^B
?????			_QCF_D_DF^C
åÉêkîg			_DSF^X/^Y/^Z
Special1			_QCF^A
Special1			_QCB^A
Burning my Soul			_QCF^X
Teleport Attack1			_QCB^X/^Y/^Z
Throw			[~F ~F]
Roll Forward			[~F ~F]
Roll Back			[~B ~B]
Power Charge			[^B]
Crouching Light Punch			[~D ~D]
Crouching Medium Punch			[~D ~D]
Crouching Strong Punch			[~D ~D]
Crouching Light Kick			[~DF]
Crouching Light Kick			[~D ~D]
Long Crouching Medium Kick			[~DF]
Crouching Medium Kick			[~D ~D]
Crouching Strong Kick			[~D ~D]

<#f0f000>:Hyper Moves:</>
fuoco <#bebebe>(1000)</>			_QCF_D_DF^X/^Y/^Z
