<#f0f000>:Special Moves:</>
Zantetsu			_QCF_D_DB^A/^B/^C_+^X/^Y/^Z
Air Chou Shin Soku Zan'ei Ken			_QCB_D_DF^A/^B/^C_+^X/^Y/^Z
Chou Shin Soku Zan'ei Ken			_QCB_D_DF^A/^B/^C_+^X/^Y/^Z
Max Geki Hishou Ken			_QCB_D_DB^X/^Y_+^Y/^Z
Geki Hishou Ken			_QCB_D_DB^X/^Y/^Z
Max Dan Da Dan			_QCB_D_DF^X/^Y_+^Y/^Z
Dan Da Dan			_QCB_D_DF^X/^Y/^Z
Max Zan'ei Ryuusei Ken			_QCB_D_DF^X/^Y_+^Y/^Z
Zan'ei Ryuusei Ken			_QCB_D_DF^X/^Y/^Z
Max Chou Reppa Dan			_QCB_D_DF^A/^B_+^C/^B
Chou Reppa Dan			_QCB_D_DF^A/^B/^C
Gekiheki Haisui Shou			_B_D_F^X/^Y_+^Y/^Z
Shouryuu Dan			_DSF^X/^Y_+^Y/^Z
Yami Abise Geri			_DSB^A/^B_+^B/^C
Zan'ei Ken			_DB_F^Y/^X_+^Z/^Y
Gen'ei Shiranui			_QCF^A/^B_+^B/^C
Kuuha Dan			_B_D_F^A/^B_+^B/^C
Baku Shin			_F_D_B^A/^B_+^B/^C
Hishou Ken			_QCB^X/^Y_+^Y/^Z
Zero Counter			_QBD^X/^Y/^Z
Throw			[~F ~F]
Power Charge			[^B]
Super Jump			_D/_DB/_DF_U/_UF/_UB
SIdestep/Dodge			[~F ~F ~U ~U]
Run /Dash Back			_XBB/_XFF
