<#f0f000>:Special Moves:</>
Roll Forward			[~F]
Roll Backward			[~B]
Beautiful Memory			_QCF_QCF^A/^B_+^B/^C
MAX Apple For You			_QCB_QCB^A/^B_+^B/^C
MAX Cool Hunting			_QCF_QCF^X/^Y_+^Y/^Z
Apple For You			_QCB_QCB^A/^B/^C
Cool Hunting			_QCF_QCF^X/^Y/^Z
EX Law Of The Bullet			_D_D^A/^B_+^B/^C
EX Sentimental Typhoon			_F_D_DB^X/^Y_+^Y/^Z
EX Happy & Missile			_D_U^X/^Y_+^Y/^Z
EX Smile & Missile 2			_B_F^A/^B_+^B/^C
EX Smile & Missile			_B_F^X/^Y_+^Y/^Z
EX Cheer & Fire 2			_DSF^A/^B_+^B/^C
EX Cheer & Fire			_DSF^X/^Y_+^Y/^Z
EX Shyness & Strike			_QCB^X/^Y_+^Y/^Z
Law Of The Bullet			_D_D^A/^B/^C
Sentimental Typhoon			_F_D_DB^X/^Y/^Z
Happy & Missile			_D_U^X/^Y/^Z
Smile & Missile 2			_B_F^A/^B/^C
Smile & Missile			_B_F^X/^Y/^Z
Cheer & Fire 2			_DSF^A/^B/^C
Cheer & Fire			_DSF^X/^Y/^Z
Shyness & Strike			_QCB^X/^Y/^Z
Zero Counter			_F^X/^Y/^Z
Power Charge			[^B]
Throw			[~F]
Air Throw			[~F]
Malice & Mine			[~D]
Tell Me Why			[~D]
Crouching Heavy Punch			[~D]
Crouching Heavy Kick			[~D]
Crouching Medium Punch			[~D]
Crouching Medium Kick			[~D]
Crouching Light Punch			[~D]
Crouching Light Kick			[~D]
