<#f0f000>:Special Moves:</>
Spin Drill Cyclone			_QCB_QCB^A/^B/^C_+^X/^Y/^Z
Wild Brace			_QCF_QCF^A/^B/^C_+^X/^Y/^Z
Max Grand Buffrass			_QCF_QCF^X/^Y_+^Y/^Z
Grand Buffrass			_QCF_QCF^X/^Y/^Z
Max An Oi Mademoiselle			_QCB_QCB^X/^Y_+^Y/^Z
An Oi Mademoiselle			_QCB_QCB^X/^Y/^Z
Max Aurora			_QCB_QCB^A/^B_+^B/^C
Aurora			_QCB_QCB^A/^B/^C
Max Many Many Torpedoes			_QCF_QCF^A/^B_+^C/^B
Many Many Torpedoes			_QCF_QCF^A/^B/^C
Rolling Thunder			_DSF^A/^B_+^B/^C
The Hind			_QCF^A/^B_+^C/^B
Harrier Bee			_QCF^A/^B_+^C/^B
Gulf Tomahawk			_QCB^A/^B_+^C/^B
Crazy Ivan			_QCB^X/^Y_+^Z/^Y
Buffrass			_QCF^X/^Y_+^Z/^Y
Zero Counter			_QBD^X/^Y/^Z
Throw			[~F ~F]
Air Throw			[~F ~F]
Power Charge			[^B]
Super Jump			[~U ~U]_D/_DB/_DF_U/_UF/_UB
SIdestep/Dodge			[~F ~F]
Run /Dash Back			_XBB/_XFF
