<#f0f000>:Special Moves:</>
Roll Forward			[~F]
Roll Backward			[~B]
Ultimate Wild Smash			_QCF_QCF^A/^B_+^B/^C
Gigaton Blow			_B_F_B_F^A/^B_+^B/^C
MAX Crazy Buffalo			_B_F_B_F^X/^Y_+^Y/^Z
Crazy Buffalo			_B_F_B_F^X/^Y/^Z
EX Dash Straight			_B_F^X/^Y_+^Y/^Z
Dash Straight			_B_F^X/^Y/^Z
Dash Low Straight/ Dash Swing Blow			_B_DF^X/^Y/^Z
EX Dash Upper			_B_F^A/^B_+^B/^C
Dash Upper			_B_F^A/^B/^C
Dash Low Smash			_B_DF^A/^B/^C
EX Buffalo Head			_D_U^X/^Y_+^Y/^Z
Buffalo Head			_D_U^X/^Y/^Z
Turn Punch			^X/^A
Zero Counter			_QBD^X/^Y/^Z
Power Charging			[^B]
Throw 1			[~F]
Throw 2			[~F]
Crouching Heavy Punch			[~D]
Crouching Heavy Kick			[~D]
Crouching Medium Punch			[~D]
Crouching Medium Kick			[~D]
Crouching Light Punch			[~D]
Crouching Light Kick			[~D]
