<#f0f000>:Special Moves:</>
Liar Elemental			_QCB_QCB^A/^B/^C_+^X/^Y/^Z
Flaming Cane Spin			_QCF_QCF^A/^B/^C_+^X/^Y/^Z
Max Salamander Stream			_QCB_QCB^A/^B_+^B/^C
Salamander Stream			_QCB_QCB^A/^B/^C
Max  Rapid Cane Rave			_QCF_QCF^X/^Y_+^Y/^Z
Rapid Cane Rave			_QCF_QCF^X/^Y/^Z
Max Cho Hong Ren Salgon			_QCF_QCF^A/^B_+^B/^C
Cho Hong Ren Salgon			_QCF_QCF^A/^B/^C
Max Super Cane Swing			_QCB_QCB^X/^Y_+^Y/^Z
Super Cane Swing			_QCB_QCB^X/^Y/^Z
Hong Ren Salgon			_DSF^X/^Y_+^Y/^Z
Flying Cane			_DSF^A/^B_+^B/^C
Cane Counter Low			_DSB^A/^B_+^B/^C
Cane Counter High			_DSB^X/^Y_+^Y/^Z
Three Part Cane			_QCF^X/^Y_+^Y/^Z
Sparrow Killer			_QCB^X/^Y_+^Y/^Z
Zero Counter			_QBD^X/^Y/^Z
Throw			[~F ~F]
SIdestep/Dodge			[~F ~F]
Power Charge			[^B]
Super Jump			[~U ~U]_D/_DB/_DF_U/_UF/_UB
Run /Dash Back			_XBB/_XFF
