<#f0f000>:Special Moves:</>
Roll Forward			[~F]
Roll Backward			[~B]
Killer Bee Assault			_QCB_D_DB^X/^Y_+^Y/^Z
MAX Reverse Shaft Breaker			_QCB_D_DB^A/^B_+^B/^C
MAX Psycho Streak			_QCF_D_DF^X/^Y_+^Y/^Z
MAX Sniping Heel			_QCF_D_DF^X/^Y_+^Y/^Z
MAX Spin Drive Smasher			_QCF_D_DF^A/^B_+^B/^C
Reverse Shaft Breaker			_QCB_D_DB^A/^B/^C
Psycho Streak			_QCF_D_DF^X/^Y/^Z
Sniping Heel			_QCF_D_DF^X/^Y/^Z
Spin Drive Smasher			_QCF_D_DF^A/^B/^C
EX Earth Direct			_FDB/_FUB/_FUF/_FDF^X/^Y_+^Y/^Z
EX Axle Spin Knuckle			_F_D_B^X/^Y_+^Y/^Z
EX Cannon Spike			_DSF^A/^B_+^B/^C
EX Cannon Strike			_QCB^A/^B_+^B/^C
EX Air Cannon Drill			_QCF^A/^B_+^B/^C
EX Sniping Arrow			_QCF^A/^B_+^B/^C
EX Cannon Drill			_QCF^A/^B_+^B/^C
Earth Direct			_FDB/_FUB/_FUF/_FDF^X/^Y/^Z
Hooligan Combination			_DSF^X/^Y/^Z
Cannon Revenge High			_QCB^X/^Y/^Z
Cannon Revenge Low			_QCB^A/^B/^C
Axle Spin Knuckle			_F_D_B^X/^Y/^Z
Cannon Spike			_DSF^A/^B/^C
Cannon Strike			_QCB^A/^B/^C
Air Cannon Drill			_QCF^A/^B/^C
Sniping Arrow			_QCF^A/^B/^C
Cannon Drill			_QCF^A/^B/^C
Zero Counter			_QBD^X/^Y/^Z
Power Charge			[^B]
Air Throw			[~F]
Throw			[~F]
CHP			[~D]
CHK			[~D]
CMP			[~D]
CMK			[~D]
CLP			[~D]
CLK			[~D]
