<#f0f000>:Special Moves:</>
Sonic Blade			_QCF_QCB^X/^Y_+^Y/^Z
MAX Sonic Break			_QCF_QCF^X/^Y_+^Y/^Z
MAX Moonsault Strike			_QCF_QCF^A/^B_+^B/^C
MAX Reversed Sommersault			_QCB_QCB^X/^Y_+^Y/^Z
MAX Crossfire Blitz			_QCF_QCF^A/^B_+^B/^C
MAX Sommersault Justice			_QCB_QCB^A/^B_+^B/^C
Sonic Break			_QCF_QCF^X/^Y/^Z
Reversed Sommersault			_QCB_QCB^X/^Y/^Z
Moonsault Strike			_QCF_QCF^A/^B/^C
Crossfire Blitz			_QCF_QCF^A/^B/^C
Sommersault Justice			_QCB_QCB^A/^B/^C
EX Moonsault Slash			_QCB^A/^B_+^B/^C
EX Somersault Kick			_D_U^A/^B_+^B/^C
EX Sonic Boom			_B_F^X/^Y_+^Y/^Z
Moonsault Slash			_QCB^A/^B/^C
Somersault Kick			_D_U^A/^B/^C
Sonic Boom			_B_F^X/^Y/^Z
Roll Forward			[~F]
Roll Backward			[~B]
Normal Attack Zero Counter			_QBD^X/^Y/^Z
Power Charge			[^B]
Throw			[~F]
Air Throw			[~F ~F]
Crouching Heavy Punch			[~D]
Crouching Heavy Kick			[~D]
Crouching Medium Punch			[~D]
Crouching Medium Kick			[~D]
Crouching Light Punch			[~D]
Crouching Light Kick			[~D]
