<#f0f000>:Special Moves:</>
Roll / Dodge			[~F]
Otoko Michi			^Z^A/_+_+/^A_B/_+_+/_B^X^X
Jun Koku Satsu			^X^X_F^A^Z
Chouhatsu Shinwa			_QCB_QCB^S
Haoh Gadouken			_F_B_D_F^X/^Y_+^Y/^Z
Shissou Buraiken			_QCF_QCF^A/^B/^C_+^B/^C/^A
MAX Hisshou Buraiken			_QCB_QCB^A/^B/^C_+^B/^C/^A
Hishou Buraiken			_QCB_QCB^A/^B/^C
Oyaji Blast			_QCB_QCB^X/^Y/^Z_+^Y/^Z/^X
MAX Shinkuu Gadouken			_QCF_QCF^X/^Y_+^Y/^Z
Kouryuu Rekka			_QCF_QCF^A/^B/^C
Metsu Gadouken			_QCF_QCF^X/^Y_+^Y/^Z
Shinkuu Gadouken			_QCF_QCF^X/^Y/^Z
Chouhatsu Densetsu			_QCF_QCF^S
Danshura Senkuu			_DSF^X/^Y_+^Y/^Z
EX Kouryuuken			_DSF^X/^Y_+^Y/^Z
EX Dankuu Kyaku (2)			_F_D_B^A/^B_+^B/^C
EX Kuuchuu Dankuu Kyaku			_QCB^A/^B_+^B/^C
EX Dankuu Kyaku			_QCB^A/^B_+^B/^C
EX Gadouken			_QCF^X/^Y_+^Y/^Z
Zuki			_QCB_QCB^X/^Y/^Z
Gadou Shoukouken			_F_B_D_F^X
Shakunetsu Gadouken			_B_D_F^X
Kouryuuken			_DSF^X
Rooringu Attaku			_DSF^A
Kuuchuu Dankuu Kyaku			_QCB^A
Dankuu Kyaku			_QCB^A
Gadouken			_QCF^X
Premium Sign			_QCF^A
Zero Counter			_DSF^X/^Y/^Z
Power Charge			[^B]
Rolling Taunt			_QCB^S
