<#f0f000>:Special Moves:</>
Roll Forward			[~F]
Roll Backward			[~B]
Midnight Pleasure			_QCB/^X_QCB/^Y^X/^Y/_F_+/^B^Y/^Z/^B
MAX Midnight Bliss			_QCF_QCF^X/^Y_+^Y/^Z
MAX Demon Blast			_QCF_QCF^A/^B_+^B/^C
Midnight Bliss			_QCF_QCF^X/^Y/^Z
Demon Blast			_QCF_QCF^A/^B/^C
EX Hell Ride			_D_D^A/^B_+^B/^C
EX Negative Stolen			_F_D_B^X/^Y_+^Y/^Z
EX Bat Spin			_QCB^A/^B_+^B/^C
EX Demon Cradle			_DSF^X/^Y_+^Y/^Z
EX Air Chaos Flare 2			_QCB^X/^Y_+^Y/^Z
EX Chaos Flare 2			_QCB^X/^Y_+^Y/^Z
EX Air Chaos Flare			_QCF^X/^Y_+^Y/^Z
EX Chaos Flare			_QCF^X/^Y_+^Y/^Z
Hell Ride			_D_D^A/^B/^C
Negative Stolen			_F_D_B^X/^Y/^Z
Bat Spin			_QCB^A/^B/^C
Demon Cradle			_DSF^X/^Y/^Z
Air Chaos Flare 2			_QCB^X/^Y/^Z
Chaos Flare 2			_QCB^X/^Y/^Z
Air Chaos Flare			_QCF^X/^Y/^Z
Chaos Flare			_QCF^X/^Y/^Z
Zero Counter			_F^X/^Y/^Z
Power Charge			[^B]
Throw			[~F]
Air Throw			[~F]
Crouching Heavy Punch			[~D]
Crouching Heavy Kick			[~D]
Crouching Medium Punch			[~D]
Crouching Medium Kick			[~D]
Crouching Light Punch			[~D]
Crouching Light Kick			[~D]
