<#f0f000>:Special Moves:</>
Roll Forward			[~F]
Roll Backward			[~B]
Yoga Catastrophe			_QCF/_F_QCF/_B^X/_D_+/_F^Y/^X_+^Z/^Y
MAX Yoga Legend			_QCB_QCB^X/^Y_+^Y/^Z
MAX Yoga Strike			_QCB_QCB^A/^B_+^B/^C
MAX Yoga Stream			_QCF_QCF^A/^B_+^B/^C
MAX Yoga Inferno			_QCF_QCF^X/^Y_+^Y/^Z
Yoga Legend			_QCB_QCB^X/^Y/^Z
Yoga Strike			_QCB_QCB^A/^B/^C
Yoga Stream			_QCF_QCF^A/^B/^C
Yoga Inferno			_QCF_QCF^X/^Y/^Z
Yoga Recover			_DSF^X_+^Y_+^Z
Aerial Yoga Teleport			_DSF^X_+^Y_+^Z
Yoga Teleport			_DSF^X_+^Y_+^Z
EX Yoga Grasp			_QCF^A/^B_+^B/^C
EX Yoga Blast			_F_D_B^A/^B_+^B/^C
EX Yoga Flame			_F_D_B^X/^Y_+^Y/^Z
EX Yoga Fire			_QCF^X/^Y_+^Y/^Z
Yoga Grasp			_QCF^A/^B/^C
Yoga Blast			_F_D_B^A/^B/^C
Yoga Flame			_F_D_B^X/^Y/^Z
Yoga Fire			_QCF^X/^Y/^Z
Zero Counter			_QBD^X/^Y/^Z
Power Charge			[^B]
Throw			[~F]
Air Throw			[~F]
Drill Kick Heavy			[~D]
Drill Kick Medium			[~D]
Drill Kick Light			[~D]
Drill Zutsuki			[~D]
Standing Far/Close Heavy Punch			[~B]
Standing Far/Close Heavy Kick			[~B]
Standing Far/Close Medium Punch			[~B]
Standing Far/Close Medium Kick			[~B]
Standing Light Punch			[~B]
Standing Light Kick			[~B]
Crouching Heavy Punch			[~B ~D]
Crouching Heavy Kick			[~B ~D]
Crouching Medium Punch			[~B ~D]
Crouching Medium Kick			[~B ~D]
Crouching Light Punch			[~B ~D]
Crouching Light Kick			[~B ~D]
