<#f0f000>:Special Moves:</>
London Silver			_QCB_QCB^A/^B_+^B/^C
MAX Union Jack Platinum			_QCF_D_DF^X/^Y_+^Y/^Z
MAX Manchester Gold			_QCB_QCB^X/^Y_+^Y/^Z
Union Jack Platinum			_QCF_D_DF^X/^Y/^Z
Manchester Gold			_QCB_D_DB^X/^Y/^Z
EX St. Andrews Green			_DSF^X/^Y_+^Y/^Z
EX Liverpool White			_QCB^A/^B_+^B/^C
EX Oxford Red			_B_D_F^A/^B_+^B/^C
EX Manchester Black			_QCB^X/^Y_+^Y/^Z
St. Andrews Green			_DSF^X/^Y/^Z
Liverpool White			_QCB^A/^B/^C
Oxford Red			_B_D_F^A/^B/^C
Canterbury Blue			_QCF^X/^Y/^Z
Manchester Black			_QCB^X/^Y/^Z
Zero Counter			_QBD^X/^Y/^Z
Power Charge			[^B]
Roll Forward			[~F]
Roll Backward			[~B]
Throw			[~F]
