<#f0f000>:Special Moves:</>
Gekirinken			_QCF_QCF^Y_+^B
MAX Rekka Shinken			_QCF_QCF^X/^Y_+^Y/^Z
MAX Ryu Yassai			_QCB_QCB^X/^Y_+^Y/^Z
MAX Shien Renkyaku			_QCB_QCB^A/^B_+^B/^C
Rekka Shinken			_QCF_QCF^X/^Y/^Z
Ryu Yassai			_QCB_QCB^X/^Y/^Z
Shien Renkyaku			_QCB_QCB^A/^B/^C
EX Shienkyaku			_QCB^A/^B_+^B/^C
EX Tenshin			_QCB^X/^Y_+^Y/^Z
EX Rekkukyaku 2			_QCF^A/^B_+^B/^C
EX Rekkaken			_QCF^X/^Y_+^Y/^Z
Shienkyaku			_QCB^A/^B/^C
Tenshin			_QCB^X/^Y/^Z
Rekkukyaku 2			_QCF^A/^B/^C
Rekkaken			_QCF^X/^Y/^Z
Roll Forward			[~F]
Roll Backward			[~B]
Normal Attack Zero Counter			_QBD^X/^Y/^Z
Power Charge			[^B]
Throw			[~F]
Crouching Heavy Punch			[~D]
Crouching Heavy Kick			[~D]
Crouching Medium Punch			[~D]
Crouching Medium Kick			[~D]
Crouching Light Punch			[~D]
Crouching Light Kick			[~D]
