<#f0f000>:Special Moves:</>
double shinkuu hadouken			_QCF_QCF^X/^Y/^Z_+^A/^B/^C
Roll Forward			[~F]
Roll Back			[~B]
shinshoryuuken			_QCF_D_DF^A/^B_+^B/^C
shungokusatsu			^X^X_F_+^A_+^Z
shinshoryuuken			_QCF_D_DF^A/^B_+^B/^C
denjinhadouken			_QCB_QCB^X/^Y/^Z
messatsugoushoryuu			_QCF_D_DF^A/^B/^C
nidanshoryuutsuki			_QCF_D_DF^A/^B/^C
shinkuutatsumakisenpuukyakku			_QCB_QCB^A/^B/^C
shinkuuhadouken			_QCF_QCF^X/^Y/^Z
reppujinraishou			_D_F_D_B^X/^Y/^Z
EXshoryuken			_DSF^X/^Y_+^Y/^Z
EXkuchuutatsumaki combo			_QCB^A/^B_+^B/^C
EXkuchuutatsumaki			_QCB^A/^B_+^B/^C
EXtatsumaki			_QCB^A/^B_+^B/^C
EXryusokyaku			_QCF^A/^B_+^B/^C
EXjoudan			_QCF^A/^B_+^B/^C
EXhadouken			_QCF^X/^Y_+^Y/^Z
EXshakunetsuhadouken			_F_D_B^X/^Y_+^Y/^Z
shoryuken			_DSF^X
classickuchuutatsumaki combo			_QCB^A
classickuchuutatsumaki			_F_D_B^A
kuchuutatsumaki			_QCB^A
tatsumaki			_QCB^A
ryusokyaku			_QCF^A
joudansokutougeri			_QCF^A
shakunetsuhadouken			_F_D_B^X
hadouken			_QCF^X
Zero Counter			_QBD^X/^Y/^Z
powercharge			[^B]
