<#f0f000>:Special Moves:</>
Roll Forward			[~F]
Roll Backward			[~B]
Deadly Rave			_F_D_B_F^A/^B_+^B/^C
Raising Dead End			_QCB_QCB^X/^Y_+^Y/^Z
MAX Kyokuu Reppuu Zan			_QCF_D_DF^X/^Y_+^Y/^Z
MAX Raising Storm			_F_D_B_D^X/^Y_+^Y/^Z
MAX Rashoumon			_FDB/_FUB/_FUF/_FDF^A/^B_+^B/^C
Kyokuu Reppuu Zan			_QCF_D_DF^X/^Y/^Z
Raising Storm			_F_D_B_D^X/^Y/^Z
Rashoumon			_FDB/_FUB/_FUF/_FDF^A/^B/^C
EX Atemi Nage			_F_D_B^X/^Y_+^Y/^Z
EX Jaeiken			_F_D_B^A/^B_+^B/^C
EX Hishou Nichirin Zan			_DSF^A/^B_+^B/^C
EX Shippuken			_QCB^X/^Y_+^Y/^Z
EX Reppuken			_QCF^X/^Y_+^Y/^Z
Atemi Nage			_F_D_B^X/^Y/^Z
Jaeiken			_F_D_B^A/^B/^C
Hishou Nichirin Zan			_DSF^A/^B/^C
Shippuken			_QCB^X/^Y/^Z
Double Reppuken			_QCF^X/^Y/^Z
Reppuken			_QCF^X/^Y/^Z
Fake Reppuken			_QCF^S
Zero Counter			_QBD^X/^Y/^Z
Power Charge			[^B]
Throw			[~F]
Floor Throw			[~D]
CHP			[~D]
CHK			[~D]
CMP			[~D]
CMK			[~D]
CLP			[~D]
CLK			[~D]
