<#f0f000>:Special Moves:</>
Roll Forward			[~F]
Roll Backward			[~B]
Zetsuei			_QCF_QCF^X_+^Y_+^Z
Zanei Max			_QCF_QCF^X/^Y_+^Y/^Z
Zanei			_QCF_QCF^X/^Y/^Z
Yasen			_QCB_QCB^A/^B_+^B/^C
Yasen			_QCB_QCB^A/^B/^C
Shitenketsu			_QCB_QCB^X_+^Y_+^Z
Shitenshuu Max			_QCB_QCB^X/^Y_+^Y/^Z
Shitenshuu			_QCB_QCB^X/^Y/^Z
Ryukoha			_QCF_QCF^A_+^B_+^C
Jyakoha Max			_QCF_QCF^A/^B_+^B/^C
Jyakoha			_QCF_QCF^A/^B/^C
Teiga			_QCB_QCB^A_+^B_+^C
Kouga Max			_QCB_QCB^A/^B_+^B/^C
Kouga			_QCB_QCB^A/^B/^C
EX Gekiro			_DSF^A/^B/^C_+^B/^C/^A
EX Ouga Manual			_D_UF^A/^B_+^B/^C
EX Ouga Auto			_D_U^A/^B_+^B/^C
EX Jyasen			_B_F^X/^Y_+^Y/^Z
Ouga Manual			_D_UF^A/^B/^C
Ouga Auto			_D_U^A/^B/^C
Jyasen			_B_F^X/^Y/^Z
Gekiro			_DSF^A/^B/^C
Zero Counter			_QBD^X/^Y/^Z
Power Charge			[^B]
Throw			[~F]
Air Throw			[~F]
Target Combo 1			[~D]
Crouching Heavy Punch (Crane)			[~D]
Crouching Heavy Kick (Crane)			[~D]
Crouching Heavy Punch (Mantis)			[~D]
Crouching Heavy Kick (Mantis)			[~D]
Crouching Medium Punch (Crane)			[~D]
Crouching Medium Kick (Crane)			[~D]
Crouching Medium Punch (Mantis)			[~D]
Crouching Medium Kick (Mantis)			[~D]
Crouching Light Punch (Crane)			[~D]
Crouching Light Kick (Crane)			[~D]
Crouching Light Punch (Mantis)			[~D]
Crouching Light Kick (Mantis)			[~D]
