<#f0f000>:Special Moves:</>
God End			_QCB_QCB^X/^Z_+^Y/^Z
Last Judgement			^X^X_F_+^A_+^Z
Dead End Screamer			_QCF_QCF^A/^B_+^B/^C
Kaiser Phoenix			_QCB_QCB^X/^Y_+^Y/^Z
MAX Gigantic Pressure			_QCF_QCB^X/^Y_+^Y/^Z
MAX Destruction Omega			_QCF_QCF^X/^Y_+^Y/^Z
MAX Genocide Heaven			_QCF_QCF^A/^B_+^B/^C
MAX Genocide Heaven			_QCF_QCF^A/^B_+^B/^C
Dead End Screamer			_QCF_QCF^A/^B/^C
Gigantic Pressure			_QCF_QCB^X/^Y/^Z
Destruction Omega			_QCF_QCF^X/^Y/^Z
Genocide Heaven			_QCF_QCF^A/^B/^C
God Lane			_DSF^X_+^Y_+^Z
EX Genocide Cutter			_DSF^A/^B_+^B/^C
EX Genocide Cutter			_DSF^A/^B_+^B/^C
EX Rugal Execution			_QCB^A/^B_+^B/^C
EX Dark Smash			_QCF^X/^Y_+^Y/^Z
EX Genocide Cutter			_DSF^A/^B_+^B/^C
EX Genocide Cutter			_DSF^A/^B_+^B/^C
EX Dark Barrier			_QCF^A/^B_+^B/^C
EX Beads Destruction			_QCB^A/^B_+^B/^C
EX Kaiser Wave			_F_B_D_F^X/^Y_+^Y/^Z
EX God Press			_QCB^X/^Y_+^Y/^Z
EX Reppuken			_QCF^X/^Y_+^Y/^Z
Genocide Cutter			_DSF^A/^B/^C
Genocide Cutter			_DSF^A/^B/^C
Rugal Execution			_QCB^A/^B/^C
Dark Smash			_QCF^X/^Y/^Z
Dark Barrier			_QCF^A/^B/^C
Beads Destruction			_QCB^A/^B/^C
Kaiser Wave			_F_B_D_F^X/^Y/^Z
God Press			_QCB^X/^Y/^Z
Reppuken			_QCF^X/^Y/^Z
Roll Forward			[~F]
Roll Backward			[~B]
Normal Attack Zero Counter			_QBD^X/^Y/^Z
Power Charge			[^B]
Throw			[~F]
Crouching Heavy Punch			[~D]
Crouching Heavy Kick			[~D]
Crouching Medium Punch			[~D]
Crouching Medium Kick			[~D]
Crouching Light Punch			[~D]
Crouching Light Kick			[~D]
