<#f0f000>:Special Moves:</>
Super Yamidoukoku			_F_D_B_F_D_B^A/^B_+^B/^C
MAX Fuujin Ibuki			_QCF_QCF^X/^Y_+^Y/^Z
MAX Shin Yaotome: Mizuchi			_QCB_QCF^X/^Y_+^Y/^Z
MAX Yamidoukoku			_F_D_B_F_D_B^X/^Y_+^Y/^Z
Shin Yaotome: Mizuchi			_QCB_QCF^X/^Y/^Z
Fuujin Ibuki			_QCF_QCF^X/^Y/^Z
Yamidoukoku			_F_D_B_F_D_B^X/^Y/^Z
EX Cutting Wind			_DSF^A/^B_+^B/^C
EX Souga			_QCF^A/^B_+^B/^C
EX Shin Aoi Hana: Seiran			_QCB^X/^Y_+^Y/^Z
EX Wanpyou Tokobuse			_DSF^X/^Y_+^Y/^Z
EX Yonokaze			_QCF^X/^Y_+^Y/^Z
Cutting Wind			_DSF^A/^B/^C
Souga			_QCF^A/^B/^C
Shin Aoi Hana: Seiran			_QCB^X/^Y/^Z
Hyouga			_QCB^A/^B/^C
Wanpyou Tokobuse			_DSF^X/^Y/^Z
Yonokaze			_QCF^X/^Y/^Z
Roll Forward			[~F]
Roll Backward			[~B]
Normal Attack Zero Counter			_QBD^X/^Y/^Z
Power Charge			[^B]
Throw			[~F]
Crouching Heavy Punch			[~D]
Crouching Heavy Kick			[~D]
Crouching Medium Punch			[~D]
Crouching Medium Kick			[~D]
Crouching Light Punch			[~D]
Crouching Light Kick			[~D]
