<#f0f000>:Special Moves:</>
Junsunina Misogi			_QCB_QCB^A/^B/^C_+^X/^Y/^Z
Denjin Shoryuken			_QCF_QCF^A/^B/^C_+^X/^Y/^Z
Max Shinkuu Tatsumaki Kyodaina/Max Shinkuu Tatsumaki Senpuukyaku			_QCB_QCB^A/^B_+^B/^C
Shinkuu Tatsumaki Kyodaina/Shinkuu Tatsumaki Senpuukyaku			_QCB_QCB^A/^B/^C
Max Air Shinkuu Tatsumaki Senpuukyaku			_QCB_QCB^A/^B_+^B/^C
Air Shinkuu Tatsumaki Senpuukyaku			_QCB_QCB^A/^B/^C
Max Yaburu Isogu/Max Fantomu Senkugoshoha			_QCB_QCB^X/^Y_+^Y/^Z
Yaburu Isogu/Fantomu Senkugoshoha			_QCB_QCB^X/^Y/^Z
Max Shin Shoryuken			_QCF_QCF^A/^B_+^C/^B
Shin Shoryuken			_QCF_QCF^A/^B/^C
Max Denjin Hadouken/Max Hadou Danmaku			_QCF_QCF^X/^Y_+^Y/^Z
Denjin Hadouken/Hadou Danmaku			_QCF_QCF^X/^Y/^Z
Kongoshin			_DSB^X/^Y_+^Y/^Z
Senkugoshoha/Shoryuken			_DSF^X/^Y_+^Z/^Y
Hyakki Shu			_DSF^A/^B_+^B/^C
GoHadouken/Hadouken			_QCF^X/^Y_+^Z/^Y
Tatsumaki Gorasen/Tatsumaki Senpukyaku			_QCB^A/^B_+^B/^C
Air Tatsumaki Senpukyaku			_QCB^A/^B_+^B/^C
Joudan Sokutu Geri			_QCF^A/^B_+^B/^C
Zero Counter			_QBD^X/^Y/^Z
Throw			[~F ~F]
Power Charge			[^B]
SIdestep/Dodge			[~F ~F]
Super Jump			[~U ~U]_D/_DB/_DF_U/_UF/_UB
Run/Forward Dash/Dash Back			_XBB/_XFF
