<#f0f000>:Special Moves:</>
Roll Forward			[~F]
Roll Backward			[~B]
Sonic Hurricane			_B_F_B_F^X/^Y_+^Y/^Z
MAX Somersault Strike			_DB_D/_DF_F/_DB_UF^A/^B_+^B/^C
MAX Total Wipeout / Opening Gambit			_B_F_B_F^A/^B_+^B/^C
Somersault Strike			_DB_D/_DF_F/_DB_UF^A/^B/^C
Texas Whimple Slap			_B_F_B_F^A/^B/^C
EX Somersault Kick			_D_U^A/^B_+^B/^C
EX Sonic Boom			_B_F^X/^Y_+^Y/^Z
Somersault Kick			_D_U^A/^B/^C
Sonic Boom			_B_F^X/^Y/^Z
Zero Counter			_QBD^X/^Y/^Z
Power Charge			[^B]
Throw			[~F]
Air Throw			[~F ~F]
Guile High Kick			[~D]
Crouching Heavy Punch			[~D]
Crouching Heavy Kick			[~D]
Crouching Medium Punch			[~D]
Crouching Medium Kick			[~D]
Crouching Light Punch			[~D]
Crouching Light Kick			[~D]
