<#f0f000>:Special Moves:</>
UNO Mode			_D_D_D^C_+^Z
Change Attack			^C_+^Z
TagIn			^C_+^Z
roll			[~B]
bushinmusourenge			_F_D_B^X/^Y_+^Y/^Z
tesshinhou			_B_D_F^A/^B_+^B/^C
bushinhassouken			_QCF_QCF^X/^Y/^Z
bushingouraikyaku			_QCF_QCF^A/^B/^C
EXbushinsenpuukyaku			_QCB^A/^B_+^B/^C
EXhouzantou			_QCB^X/^Y_+^Y/^Z
izunaotoshi			_QCF^X
houzantou			_QCB^X
hassoukyaku			_QCB^A
hassoukyaku			_QCF^A
bushinsenpuukyaku			_QCB^A
hayagake			_QCF^A
Zero Counter			_DSF^X/^Y/^Z
powercharge			[^B]
walljumpF			[~U]
walljumpB			[~U]

<#f0f000>:Hyper Moves:</>
Team Hyper Attack <#bebebe>(3000)</>			_QCF^C_+^Z
Delayed Hyper <#bebebe>(1000)</>			_QCF^C_+^Z
