<#f0f000>:Special Moves:</>
roll / dodge			[~F]
SFA Bushin Muso Renge			_QCB_QCB^X_+^Y_+^Z
tesshinhou			_QCF_QCF^A/^B_+^B/^C
MAX bushinhassouken			_QCF_QCF^X/^Y_+^Y/^Z
bushinhassouken			_QCF_QCF^X/^Y/^Z
MAX bushingouraikyaku			_QCF_QCF^A/^B_+^B/^C
bushingouraikyaku			_QCF_QCF^A/^B/^C
EXbushinsenpuukyaku			_QCB^A/^B_+^B/^C
EXhayagake			_QCF^A/^B_+^B/^C
EXhouzantou			_QCB^X/^Y_+^Y/^Z
izunaotoshi			_QCF^X
houzantou			_QCB^X
hassoukyaku			_QCB^A
hassoukyaku			_QCF^A
bushinsenpuukyaku			_QCB^A
hayagake			_QCF^A
Zero Counter			_DSF^X/^Y/^Z
powercharge			[^B]
walljumpF			[~U]
walljumpB			[~U]
