<#f0f000>:Special Moves:</>
Ragnarok			_QCF_D_DB^X/^Y_+^Y/^Z
Ouroboros			_QCF_D_DF^X/^Y_+^Y/^Z
Legion(Warp)			_QCB_D_DB^A/^B_+^B/^C
Legion(Direct)			_QCF_D_DF^A/^B_+^B/^C
Nagrarok			_QCF_D_DF^A/^B/^C
Roll Forward			[~F ~F]
Roll Back			[~B ~B]
Gram Air Strong			_DSF^Z
Gram Air Med			_DSF^Y
Gram Air			_DSF^X
Gram Strong			_DSF^Z
Gram Med			_DSF^Y
Gram			_DSF^X
Warp Low			_DSB^A/^B/^C
Warp			_DSB^X/^Y/^Z
Formation A			_QCF^A
Vajra			_QCB^A/^B/^C
Excalibur Strong			_QCF^C
Excalibur Med			_QCF^B
Excalibur			_QCF^A
Zero Counter			_QBD^X/^Y/^Z
Throw			[~F ~F]
Air Throw			[~F ~F]
Power Charge			[^B]
Wall Jump Forward			[~U ~U]
Wall Jump Backwards			[~U ~U]
Crouching Light Punch			[~D ~D]
Crouching Medium Punch			[~D ~D]
Crouching Strong Punch			[~D ~D]
Crouching Light Kick			[~D ~D]
Crouching Medium Kick			[~D ~D]
Crouching Strong Kick			[~D ~D]
