<#f0f000>:Special Moves:</>
Roll Forward			[~F]
Roll Backward			[~B]
Orochi Kudaki			_F_D_DB_DF_QCB^X/^Y/^Z
MAX Oni Musou			_B_F_B_F^X/^Y_+^Y/^Z
MAX Fuji Oroshi			_B_F_B_F^A/^B_+^B/^C
Oni Musou			_B_F_B_F^X/^Y/^Z
Fuji Oroshi			_B_F_B_F^A/^B/^C
EX Super Hyakkan Otoshi			_D_U^A/^B_+^B/^C
EX Super Zutsuki			_B_F^X/^Y_+^Y/^Z
EX Ooichou Nage			_F_D_DB^X/^Y_+^Y/^Z
Super Hyakkan Otoshi			_D_U^A/^B/^C
Super Zutsuki			_B_F^X/^Y/^Z
Ooichou Nage			_F_D_DB^X/^Y/^Z
Zero Counter			_QBD^X/^Y/^Z
Power Charge			[^B]
Throw			[~F]
CHP			[~D]
CHK			[~D]
CMP			[~D]
CMK			[~D]
CLP			[~D]
CLK			[~D]
