<#f0f000>:Special Moves:</>
Roll Forward			[~F]
Roll Backward			[~B]
Hashinsho			_QCB_QCB^X/^Y_+^Y/^Z
EX Raida			_F_D_DB^X/^Y_+^Y/^Z
EX Hien			_DSB^A/^B_+^B/^C
EX Tsumuji			_QCB^A/^B_+^B/^C
EX Kazekiri			_DSF^A/^B_+^B/^C
EX Kunai			_QCF^X/^Y_+^Y/^Z
Raida			_F_D_DB^X/^Y/^Z
Hien			_DSB^A/^B/^C
Tsumuji			_QCB^A/^B/^C
Kazekiri			_DSF^A/^B/^C
Kunai			_QCF^X/^Y/^Z
Zero Counter			_QBD^X/^Y/^Z
Power Charge			[^B]
Throw			[~F]
Air Throw			[~F ~F]
Sazan			[~D]
You men			[~B]
Crouching Heavy Punch			[~D]
Crouching Heavy Kick			[~D]
Crouching Medium Punch			[~D]
Crouching Medium Kick			[~D]
Crouching Light Punch			[~D]
Crouching Light Kick			[~D]
