<#f0f000>:Special Moves:</>
Roll Forward			[~F]
Roll Backward			[~B]
Sun Delta			_QCB_QCB^X/^Y/^Z
MAX Sunshine			_QCB_QCB^A/^B_+^B/^C
MAX Sunburst			_QCF_QCF^X/^Y_+^Y/^Z
Sunshine			_QCB_QCB^A/^B/^C
Sunburst			_QCF_QCF^X/^Y/^Z
EX Sun Arch			_DSF^A/^B_+^B/^C
EX Sunrise			_QCF^A/^B_+^B/^C
EX Sunshot			_QCF^X/^Y_+^Y/^Z
Sun Arch			_DSF^A/^B/^C
Sundive			_QCB^A/^B/^C
Sun Lower			_QCB^A/^B/^C
Sun Upper			_QCB^X/^Y/^Z
Sunrise			_QCF^A/^B/^C
Sunshot			_QCF^X/^Y/^Z
Zero Counter			_QBD^X/^Y/^Z
Power Charging			[^B]
Air Throw			[~F]
Throw			[~F]
Throw			[~F]
Crouching Heavy Punch			[~D]
Crouching Heavy Kick			[~D]
Crouching Medium Punch			[~D]
Little Lag			[~D]
Crouching Medium Kick			[~D]
Crouching Light Punch			[~D]
Crouching Light Kick			[~D]
