<#f0f000>:Special Moves:</>
Roll Forward			[~F]
Roll Backward			[~B]
Chi No Bousou			_QCB_QCB^X/^Y_+^Y/^Z
San Shingi no Ni			_QCF_QCB^A/^B_+^B/^C
MAX Shiki 1201: Ya Otome			_QCF_QCB^X/^Y_+^Y/^Z
Shiki 1201: Ya Otome			_QCF_QCB^X/^Y/^Z
MAX Shiki 100: Oni Homura			_QCF_QCF^X/^Y_+^Y/^Z
Shiki 100: Oni Homura			_QCF_QCF^X/^Y/^Z
Ura 1029 Shiki: Homurabotogi			_QCB_QCF^A/^B_+^B/^C
MAX Shiki 1201: Ya Otome			_QCF_QCB^X/^Y_+^Y/^Z
Shiki 306: Saika			_QCF_QCF_QCF_QCF^X/^Y_+^Y/^Z
Shiki 1201: Ya Otome			_QCF_QCB^X/^Y/^Z
MAX Shiki 311: Saku Tsumagushi			_QCF_QCF^A/^B_+^B/^C
Shiki 311: Saku Tsumagushi			_QCF_QCF^A/^B/^C
MAX Shiki 108: Ya Sakazuki			_QCB_QCF^X/^Y_+^Y/^Z
Shiki 108: Ya Sakazuki			_QCB_QCF^X/^Y/^Z
EX Tsumagushi			_DSF^A/^B_+^B/^C
EX 212 Shiki: Kototsuki In			_F_D_B^A/^B_+^B/^C
EX 217 Shiki: Aoi Hana			_QCB^X/^Y_+^Y/^Z
EX 100 Shiki: Oniyaki			_DSF^X/^Y_+^Y/^Z
EX Yami Barai			_QCF^X/^Y_+^Y/^Z
Kuzukaze			_F_D_B_F^X/^Y/^Z
Tsumagushi			_DSF^A/^B/^C
212 Shiki: Kototsuki In			_F_D_B^A/^B/^C
Aoi Hana			_QCB^X/^Y/^Z
100 Shiki: Oniyaki			_DSF^X/^Y/^Z
Yami Barai			_QCF^X/^Y/^Z
Zero Counter			_QBD^X/^Y/^Z
Power Charge			[^B]
Throw			[~F]
Crouching Heavy Punch			[~D]
Crouching Heavy Kick			[~D]
Crouching Medium Punch			[~D]
Crouching Medium Kick			[~D]
Crouching Light Punch			[~D]
Crouching Light Kick			[~D]
