<#f0f000>:Special Moves:</>
Roll Forward			[~F]
Roll Backward			[~B]
Hyper Chain Drive			_F_D_DB_F_D_DB^X/^Y_+^Y/^Z
Crimson Star Road			_QCB_D_DB^X/^Y_+^Y/^Z
MAX Chain Drive			_QCF_D_DB^X/^Y_+^Y/^Z
MAX Heat Drive			_QCF_D_DF^X/^Y/^Z_+^Y/^Z/^X
Chain Drive			_QCF_D_DB^X/^Y/^Z
Heat Drive			_QCF_D_DF^X/^Y/^Z
EX Air Trigger			_QCF^A/^B_+^B/^C
EX Black Out			_QCF^A/^B_+^B/^C
EX Minutes Spike (Air)			_QCB^A/^B_+^B/^C
EX Minutes Spike			_QCB^A/^B_+^B/^C
EX Crow Bites			_DSF^X/^Y_+^Y/^Z
EX Ein Trigger			_QCF^X/^Y_+^Y/^Z
Air Trigger			_QCF^A/^B/^C
Black Out			_QCF^A/^B/^C
Minutes Spike (Air)			_QCB^A/^B/^C
Minutes Spike			_QCB^A/^B/^C
Crow Bites			_DSF^X/^Y/^Z
Ein Trigger			_QCF^X/^Y/^Z
Zero Counter			_QBD^X/^Y/^Z
Power Charge			[^B]
Throw			[~F]
Crouching Heavy Punch			[~D]
Crouching Heavy Kick			[~D]
Crouching Medium Punch			[~D]
Knee Assault (Canceled)			[~D]
Knee Assault			[~D]
Crouching Medium Kick			[~D]
Crouching Light Punch			[~D]
Crouching Light Kick			[~D]
