<#f0f000>:Special Moves:</>
Himmlischer Heilige Lichts			_QCF_D_DF^A/^B/^C_+^X/^Y/^Z
Himmlische Brennen			_QCB_D_DB^A/^B/^C_+^X/^Y/^Z
SIdestep/Dodge			[~F ~F]
Max Himmlische Uberqueren			_QCB_D_DB^X/^Y_+^Y/^Z
Himmlische Uberqueren			_QCB_D_DB^X/^Y/^Z
Max Himmlische Seele			_QCF_D_DF^A/^B_+^C/^B
Himmlische Seele			_QCF_D_DF^A/^B/^C
Max Himmlischer Atem			_QCF_D_DF^X/^Y_+^Y/^Z
Himmlischer Atem			_QCF_D_DF^X
Schwarze Lanze			_D_U^Y/^X_+^Z/^Y
Schwarzer Panzer			_B_F^A/^B_+^B/^C
Schwarze Flamme			_B_F^X/^Y_+^Y/^Z
Air Schwarze Flamme			_B_F^X/^Y
Schwarzer Stob			_D_U^A/^B_+^B/^C
Zero Counter			_QBD^X/^Y/^Z
Throw			[~F ~F]
Power Charge			[^B]
Super Jump			[~U ~U]_D/_DB/_DF_U/_UF/_UB
Run /Dash Back			_XBB/_XFF
