<#f0f000>:Special Moves:</>
Roll Backward			[~B]
Roll Forward			[~F]
shungokusatsu			^X^X_F_+^A_+^Z
nekketsuhadouken			_QCF_QCF^X/^Y_+^Y/^Z
Counter			_QCB_QCB^A_+^B
Killer Satellite -Bound Punch			_QCB_QCB^X/^Y/^Z
dive kick			_QCF_QCF^A/^B/^C
Shinpi Kaibyaku			_QCF_QCF^X/^Y_+^Y/^Z
Shinpi Kaibyaku			_QCF_QCF^X/^Y/^Z
sakurasenkuu			_DSF^X/^Y_+^Y/^Z
Kou'ou Ken			_QCF_QCF^A/^B_+^B/^C
Kou'ou Ken			_QCF_QCF^A/^B/^C
modechange			_QCF_D_DF^S
EX Arakuma Inashi			[~F]_FDB/_FUF/_FUB^A/^B_+^B/^C
EX Hou Shou			_DSF^X/^Y_+^Y/^Z
EX Mujin Kyaku			_DSF^A/^B_+^B/^C
EX Ressen Ha			_QCF^A/^B_+^B/^C
EX Yasha Gaeshi			_QCB^X/^Y_+^Y/^Z
Arakuma Inashi			[~F]_FDB/_FUB/_FUF/_FDF^A/^B/^C
Hou Shou			_DSF^X/^Y/^Z
Mujin Kyaku			_DSF^A/^B/^C
Ressen Chou			_DSB^X/^Y/^Z
Ressen Ha			_QCF^A/^B/^C
shou'ouken			_DSF^X
hadouken			_QCF^X
Guren Ken			_QCF^X/^Y/^Z
Yasha Gaeshi (Joudan)			_QCB^X/^Y/^Z
Yasha Gaeshi (Gedan)			_QCB^A/^B/^C
Zero Counter			_QBD^X/^Y/^Z
Power Charge			[^B]
Power Charge			[^B]
CHP			[~D]
CHK			[~D]
CMP			[~D]
CMK			[~D]
CLP			[~D]
CLK			[~D]
