<#f0f000>:Special Moves:</>
Roll Forward			[~F]
Roll Backward			[~B]
Guren Senpukyaku			_QCF/_B_QCF/_D^A/_F_+/^A/^B^B/_+_+/^B/^C
Shinbu Messatsu			_QCF_QCB^X/^Y_+^Y/^Z
Kuzuryureppa			_QCF_QCF^A/^B_+^B/^C
MAX Shinryuken			_QCB_QCB^A/^B_+^B/^C
MAX Shoryureppa			_QCF_QCF^X/^Y_+^Y/^Z
Shippu Jinraikyaku			_QCF_QCF^A/^B/^C
Shinryuken			_QCB_QCB^A/^B/^C
Shoryureppa			_QCF_QCF^X/^Y/^Z
Fujinsen Geri			_QCF^A/^B_+^B/^C
EX Ryusenkyaku			_DSB^A/^B_+^B/^C
Rasetsu Kyaku			_DSF^A/^B/^C
Inazuma Kakato Wari (from Geri)			[^A]
Classic Airborne Tatsumaki Senpukyaku			_F_D_B^A/^B/^C
Tatsumaki Senpukyaku			_QCB^A/^B/^C
Shoryuken			_DSF^X/^Y/^Z
Hadoken			_QCF^X/^Y/^Z
Zero Counter			_QBD^X/^Y/^Z
Power Charge			[^B]
Throw			[~F]
Air Throw			[~F]
Crouching Heavy Punch			[~D]
Crouching Heavy Kick			[~D]
Crouching Medium Punch			[~D]
Crouching Medium Kick			[~D]
Crouching Light Punch			[~D]
Crouching Light Kick			[~D]
