<#f0f000>:Special Moves:</>
Roll Forward			[~F]
Roll Backward			[~B]
Super 3			_QCF_QCF^A/^B_+^B/^C
super 2			_QCF_QCF^X/^Y_+^Y/^Z
super 1			_QCF_QCF^X/^Y/^Z
super 2			_QCB_QCB^X/^Y_+^Y/^Z
super 1			_QCB_QCB^X/^Y/^Z
EX Special 7			_DSF^A/^B_+^B/^C
EX Special 5			_QCB^A/^B_+^B/^C
EX Special 4			_B_D_F^A/^B_+^B/^C
EX Special 3			_DSB^X/^Y_+^Y/^Z
EX Special 2			_DSF^X/^Y_+^Y/^Z
EX Special 1			_QCF^X/^Y_+^Y/^Z
Special 7			_DSF^A/^B/^C
Special 5			_QCB^A/^B/^C
Special 4			_B_D_F^A/^B/^C
Special 3			_DSB/_DSF^X/^Y/^Z/^A
Special 2			_DSF^X/^Y/^Z
Special 1			_QCF^X/^Y/^Z
Zero Counter			_QBD^X/^Y/^Z
Power Charging			[^B]
Throw			[~F]
Crouching Heavy Punch			[~D]
Crouching Heavy Punch			[~D]
Crouching Heavy Kick			[~D]
Crouching Medium Punch			[~D]
Crouching Medium Kick			[~D]
Crouching Light Punch			[~D]
Crouching Light Kick			[~D]
