<#f0f000>:Special Moves:</>
Roll Forward			[~F]
Roll Backward			[~B]
Zero Kyori Hououkyaku			_QCB_DB_F^X/^Y_+^Y/^Z
MAX Hououhitenkyaku			_QCF_QCF^A/^B_+^B/^C
MAX Hououtenbukyaku			_QCF_QCB^A/^B_+^B/^C
MAX Hououkyaku (Air)			_QCB_DB_F^A/^B_+^B/^C
MAX Hououkyaku			_QCB_DB_F^A/^B_+^B/^C
Hououhitenkyaku			_QCF_QCF^A/^B/^C
Hououtenbukyaku			_QCF_QCB^A/^B/^C
Hououkyaku (Air)			_QCB_DB_F^A/^B/^C
Hououkyaku			_QCB_DB_F^A/^B/^C
EX Hakikyaku			_D_D^A/^B_+^B/^C
EX Ryuseiraku			_B_F^A/^B_+^B/^C
EX Kusajin			_D_U^X/^Y_+^Y/^Z
EX Hienzan			_D_U^A/^B_+^B/^C
EX Hishokyaku			_QCF^A/^B_+^B/^C
EX Hangetsuzan			_QCB^A/^B_+^B/^C
Hakikyaku			_D_D^A/^B/^C
Ryuseiraku			_B_F^A/^B/^C
Kusajin			_D_U^X/^Y/^Z
Hienzan			_D_U^A/^B/^C
Hishokyaku			_QCF^A/^B/^C
Hangetsuzan			_QCB^A/^B/^C
Zero Counter			_QBD^X/^Y/^Z
Power Charge			[^B]
Throw			[~F]
Crouching Heavy Punch			[~D]
Crouching Heavy Kick			[~D]
Crouching Medium Punch			[~D]
Crouching Medium Kick			[~D]
Crouching Light Punch			[~D]
Crouching Light Kick			[~D]
