<#f0f000>:Special Moves:</>
Gigantic Typhoon			_QCB_QCB^A/^B/^C_+^X/^Y/^Z
Kaiser Rage			_QCF_QCF^A/^B/^C_+^X/^Y/^Z
Max Kaiser Roll			_QCB_QCB^A/^B_+^C/^B
Kaiser Roll			_QCB_QCB^A/^B/^C
Max Gigantic Cyclone			_QCB_QCB^X/^Y_+^Z/^Y
Gigantic Cyclone			_QCB_QCB^X/^Y/^Z
Max Unlimited Desire			_QCF_QCF^A/^B_+^C/^B
Unlimited Desire			_QCF_QCF^A/^B/^C
Max Kaiser Wave			_QCF_QCF^X/^Y_+^Z/^Y
Kaiser Wave			_QCF_QCF^X/^Y/^Z
Kaiser Dual Sobat Kick			_DSB^A/^B_+^B/^C
Kaiser Kick			_DSF^A/^B_+^B/^C
Kaiser Strike			_DSF^X/^Y_+^Y/^Z
Kaiser Suplex			_F_D_B^X/^Y
Lift Up Blow			_F_D_B^A/^B
Kassik Kaiser Wave			_B_D_F^X/^Y_+^Y/^Z
Blitz Ball Low			_QCB^A/^B_+^B/^C
Blitz Ball High			_QCB^X/^Y_+^Y/^Z
Leg Tomahawk			_QCF^A/^B_+^B/^C
Phoenix			_QCF^X/^Y_+^Y/^Z
Zero Counter			_QBD^X/^Y/^Z
Throw			[~F ~F]
Power Charge			[^B]
SIdestep/Dodge			[~F ~F]
Super Jump			[~U ~U]_D/_DB/_DF_U/_UF/_UB
Run /Dash Back			_XBB/_XFF
