<#f0f000>:Special Moves:</>
Lv3			_QCF_QCF^A/^B/^C_+^X/^Y/^Z
Super 3			_QCF_QCF^A/^B/^C
Super 2			_QCB_QCB^X/^Y/^Z
Super			_QCF_QCF^X/^Y/^Z
Special 6			_QCB/_QCF^X/^Y/^A/^B_+^Y/^Z/^B/^C
Special 5			_DSF^X/^Y_+^Y/^Z
Special 4			_QCF^X/^Y_+^Y/^Z
Special 3			_QCF^A/^B_+^B/^C
Special 2			_QCF^A/^B_+^B/^C
Special			_QCF^X/^Y_+^Y/^Z
Zero Counter			_QBD^X/^Y/^Z
Throw			[~F ~F]
Throw			[~F ~F]
Power Charge			[^B]
Super Jump			[~U ~U]_D/_DB/_DF_U/_UF/_UB
SIdestep/Dodge			[~F ~F]
Run /Dash Back			_XBB/_XFF
