<#f0f000>:Special Moves:</>
UNO Mode			_D_D_D^Z_+^C
Change Attack			^Z_+^C
TagIn			^Z_+^C
Roll Forward			[~F]
Roll Backward			[~B]
Zero Counter			_QBD^X/^Y/^Z
Power Charging			[^B]
Throw			[~F]
Throw			[~F]
Throw			[~B]
Throw			[~B]
Crouching Heavy Punch			[~D]
Crouching Heavy Kick			[~D]
Crouching Medium Punch			[~D]
Crouching Medium Kick			[~D]
Crouching Light Punch			[~D]
Crouching Light Kick			[~D]

<#f0f000>:Hyper Moves:</>
Team Hyper Attack <#bebebe>(3000)</>			_QCF^Z_+^C
Delayed Hyper <#bebebe>(1000)</>			_QCF^Z_+^C
