<#f0f000>:Special Moves:</>
Counter Movement			[~F ~F]
Throw(Kick)			[~F ~F]
Throw(Punch)			[~F ~F]
Air Throw(Kick)			[~F ~F]
Air Throw(Punch)			[~F ~F]
Roll Forward			[~F ~F]
Roll Back			[~B ~B]
Power Charge			[^B]
Yusura Ume			[~D ~D]
Ukihane			[~D ~D]
Dairin Fuusha Otoshi			[~D ~D]
Fierce Blossom			[~F ~F]
Fierce Blossom(Linked)			[~F ~F]
Dancing of Tensui			[~F ~F]
Benitsuru no Mai			[~F ~F]
Benitsuru no Mai(Linked)			[~F ~F]
Wall Jump Forward			[~U ~U]
Wall Jump Backwards			[~U ~U]
Crouching Light Punch			[~D ~D]
Crouching Medium Punch			[~D ~D]
Crouching Strong Punch			[~D ~D]
Crouching Light Kick			[~D ~D]
Crouching Medium Kick			[~D ~D]
Crouching Strong Kick			[~D ~D]
