<#f0f000>:Special Moves:</>
Lv3			_QCF_QCF^A/^B/^C_+^X/^Y/^Z
Mary Typhoon			_QCB_QCB^A/^B_+^B/^C
Max M.Splash Rose			_QCF_QCB^X/^Y_+^Y/^Z
M.Splash Rose			_QCF_QCB^X/^Y/^Z
Max M.Dynamite Swing			_QCF_QCF^A/^B_+^C/^B
M.Dynamite Swing			_QCF_QCF^A/^B/^C
Straight Slicer			_B_F^A/^B_+^B/^C
Vertical Arrow			_DSF^A/^B_+^B/^C
SpinFall			_QCF^A/^B_+^B/^C
RealCounter			_QCB^X/^Y_+^Y/^Z
M.Reverse			_QCB^A/^B_+^B/^C
Zero Counter			_QBD^X/^Y/^Z
Throw			[~F ~F]
Power Charge			[^B]
Super Jump			[~U ~U]_D/_DB/_DF_U/_UF/_UB
Sidestep/Dodge			[~F ~F]
Run /Dash Back			_XBB/_XFF
