<#f0f000>:Special Moves:</>
Roll Forward			[~F]
Roll Backward			[~B]
Rainbow Cyclone			_QCB_D_F^X/^Y_+^Y/^Z
Rainbow Assault			_QCB_QCB^A/^B_+^B/^C
MAX Sardine's Beach			_QCF_QCF^A/^B_+^B/^C
Sardine's Beach			_QCF_QCF^A/^B/^C
MAX Heavenly Dynamite			_B/_F/_U_FDB/_FDF/_F/_B_D/_FDF/_FDB_F/_B/_D_U/_B/_F^X/^Y_+^Y/^Z
Heavenly Dynamite			_B/_F/_U_FDB/_FDF/_F/_B_D/_FDF/_FDB_F/_B/_D_U/_B/_F^X/^Y/^Z
MAX Rainbow Hip Rush			_QCF_QCF^X/^Y_+^Y/^Z
Rainbow Hip Rush			_QCF_QCF^X/^Y/^Z
EX Wingless Airplane			_F_D_B^A/^B_+^B/^C
Wingless Airplane			_F_D_B^A/^B/^C
Daydream Headlock			_FDB/_FUF/_FUB^A/^B/^C
Paradise Hold			_FDB/_FUF/_FUB^X/^Y/^Z
EX Shooting Peach			_QCB^A/^B_+^B/^C
Shooting Peach			_QCB^A/^B/^C
EX Flying Peach			_QCB^X/^Y_+^Y/^Z
Flying Peach			_QCB^X/^Y/^Z
Zero Counter			_QBD^X/^Y/^Z
Power Charging			[^B]
Air Throw Punch			[~F]
Air Throw Kick			[~F]
Throw Punch 2			[~D ~F]
Throw Punch			[~F]
Throw Kick			[~F]
Crouching Heavy Punch			[~D]
Crouching Heavy Kick			[~D]
Crouching Medium Punch			[~D]
Crouching Medium Kick			[~D]
Crouching Light Punch			[~D]
Crouching Light Kick			[~D]
