<#f0f000>:Special Moves:</>
UNO Mode			_D_D_D^C_+^Z
Change Attack			^C_+^Z
TagIn			^C_+^Z
Haoh Shikoken			_F_B_D_F^X/^Y/^Z
Kishin Sanga Geki			_QCB_D_F^A/^B_+^B/^C
Chou Ryuko Ranbu			_QCF_D_B^X/^Y_+^Y/^Z
Ryuko Ranbu Max			_QCF_D_B^X/^Y_+^Y/^Z
Kyokugen Kohou MAX			_QCF_D_DF^A/^B_+^B/^C
Kyokugen Kohou			_QCF_D_DF^A/^B/^C
Kyokugen Kohou			_QCF_D_DF^A/^B/^C
Ryuko Ranbu			_QCF_D_B^X/^Y/^Z
EX Air Hien			_B_QCF^A/^B_+^B/^C
All Shikouken			_F_B_D_F^X/^Y/^Z
Strong Kohou			_DSF^Z
Medium Kohou			_DSF^Y
Light Kohou			_DSF^X
Shin Strong Kohou			_DSF^Z
Shin Medium Kohou			_DSF^Y
Shin Light Kohou			_DSF^X
Strong HienShippuKyaku			_DB_F^C
Strong HienShippuKyaku			_DB_F^C
Medium HienShippuKyaku			_DB_F^B
Medium HienShippuKyaku			_DB_F^B
Light HienShippuKyaku			_DB_F^A
Light HienShippuKyaku			_DB_F^A
Strong HienShippuKyaku			_DB_F^C
Strong HienShippuKyaku			_DB_F^C
Medium HienShippuKyaku			_DB_F^B
Medium HienShippuKyaku			_DB_F^B
Light HienShippuKyaku			_DB_F^A
Light HienShippuKyaku			_DB_F^A
Strong Shin HienShippuKyaku			_B_QCF^C
Medium Shin HienShippuKyaku			_B_QCF^B
Light Shin HienShippuKyaku			_B_QCF^A
Strong MoukoBuraiGan			_QCB^Z
Medium MoukoBuraiGan			_QCB^Y
Light MoukoBuraiGan			_QCB^X
ShouranKyaku			_F_QCB^A/^B/^C
ShouranKyaku			_F_QCB^A/^B/^C
All KoohKen			_QCF^X/^Y/^Z
Light 2002 Koohken			_QCF^X
Medium 2002 Koohken			_QCF^Y
Strong 2002 Koohken			_QCF^Z
Strong Zanretsuken			_F_B_F^Z
Medium Zanretsuken			_F_B_F^Y
Light Zanretsuken			_F_B_F^X
Shin Strong Zanretsuken			_F_B_F^Z
Shin Medium Zanretsuken			_F_B_F^Y
Shin Light Zanretsuken			_F_B_F^X
Zero Counter			_QBD^X/^Y/^Z
Throw			[~F ~F]
Roll Forward			[~F ~F]
Roll Back			[~B ~B]
Power Charge			[^B]
Sankaku Tobi			[~U ~U ~B ~B ~F ~F]
Crouching Light Punch			[~D ~D]
Crouching Medium Punch			[~D ~D]
Crouching Strong Punch			[~D ~D]
Crouching Light Kick			[~D ~D]
Crouching Medium Kick			[~D ~D]
Crouching Strong Kick			[~D ~D]

<#f0f000>:Hyper Moves:</>
Team Hyper Attack <#bebebe>(3000)</>			_QCF^C_+^Z
Delayed Hyper <#bebebe>(1000)</>			_QCF^C_+^Z
