<#f0f000>:Special Moves:</>
Roll Forward			[~F]
Roll Backward			[~B]
Zetsumei Ougi			_F_B_D_F^A/^B_+^B/^C
Shirikoro Kamui Nomi			_D_D_D^A/^B_+^B/^C
Irusuka Yatoro Lise			_F_B_D_F^X/^Y_+^Y/^Z
Elerush Kamui Rimse			_QCB_D_DB^A/^B_+^B/^C
Elerush Kamui Rimse			_QCB_D_DB^A/^B_+^B/^C
Ganso Lela Mutsube			_QCF_D_DF^X/^Y/^Z
MAX Apefuchi Kamui Rimse			_QCF_D_DF^A/^B_+^B/^C
Apefuchi Kamui Rimse			_QCF_D_DF^A/^B/^C
Shichikapu Kamui Irushika			_QCB_D_DB^X/^Y/^Z
EX Kamui Mutsube			_QCB^X/^Y_+^Y/^Z
EX Kamui Rimse			_DSB^X/^Y_+^Y/^Z
EX Amube Yatoro			_F_D_B^X/^Y_+^Y/^Z
EX Annu Mutsube			_QBD^X/^Y_+^Y/^Z
EX Lela Mutsube			_QCF^X/^Y_+^Y/^Z
Kamui Mutsube			_QCB^X/^Y/^Z
Shichikapu Ai			_QCF^X/^Y/^Z
Kamui Rimse			_DSB^X/^Y/^Z
Amube Yatoro			_F_D_B^X/^Y/^Z
Annu Mutsube			_QBD^X/^Y/^Z
Lela Mutsube			_QCF^X/^Y/^Z
Mamahaha Ni Tsukamaru			_QCB^A/^B/^C
Zero Counter			_QBD^X/^Y/^Z
Power Charge			[^B]
Wall Jump			[~U ~F ~B]
CHP2			[~D]
CHP			[~D]
CHK			[~D]
CMP			[~D]
CMK			[~D]
CLP			[~D]
CLK			[~D]
Kamui Fumu Kesupu			[~D]
Jiketsu			_B_QFD^S
SD Taunt			_D_D^S
