<#f0f000>:Special Moves:</>
Jet-Vulcan Punch			_QCB_QCB^A/^B/^C_+^X/^Y/^Z
Bareback Galatica Phantom			_QCF_QCF^A/^B/^C_+^X/^Y/^Z
SIdestep/Dodge			[~F ~F]
Max Galatica Phantom			_QCF_QCF^X/^Y_+^Y/^Z
Galatica Phantom			_QCF_QCF^X/^Y/^Z
Max Bareback Vulcan Punch			_QCB_QCF^A/^B_+^B/^C
Bareback Vulcan Punch			_QCB_QCF^A/^B/^C
Max Super Vulcan Punch			_QCF_QCB^X/^Y_+^Y/^Z
Super Vulcan Punch			_QCF_QCB^X/^Y/^Z
Ralf Tackle			_F_D_B^A/^B_+^B/^C
Super Argentine Backbreaker			_B/_F_D_F/_B^A/^B_+^B/^C
Ralf Kick			_B/_DB_F^A/^B_+^C/^B
Dive Bomber Punch			_QCF^X/^Y_+^Y/^Z
Bomber Punch			_D_U^X/^Y_+^Y/^Z
Gatling Attack			_B/_DB_F^X/^Y_+^Y/^Z
Zero Counter			_QBD^X/^Y/^Z
Throw			[~F ~F]
Power Charge			[^B]
Super Jump			[~U ~U]_D/_DB/_DF_U/_UF/_UB
Run /Dash Back			_XBB/_XFF
