<#f0f000>:Special Moves:</>
Roll Forward			[~F]
Roll Backward			[~B]
MAX Issen			_QCB_D_DF^X/^Y_+^Y/^Z
Zoubu Eguri			_F_D_B_F^X/^Y_+^Y/^Z
Tenha: Seiou Zan			_F_D_B_F^X/^Y_+^Y/^Z
MAX Hiougi Tenha: Fujin Zan			_QCF_D_DF^X/^Y/^Z_+^Y/^Z/^X
Issen			_QCB_D_DF^X/^Y/^Z
Hiougi Tenha: Fujin Zan			_QCF_D_DF^X/^Y/^Z
EX Aerial Ougi: Senpuu Retsu Zan			_QCF^X/^Y_+^Y/^Z
EX Sake Kogeki			_DSB^A/^B_+^B/^C
EX Ougi: Resshin Zan			_QCB^X/^Y_+^Y/^Z
EX Ougi: Kogetsu Zan			_DSF^X/^Y_+^Y/^Z
EX Ougi: Senpuu Retsu Zan			_QCF^X/^Y_+^Y/^Z
Shitatari			_QCB^A/^B/^C
Gouha			_DSF^A/^B/^C
Aerial Ougi: Senpuu Retsu Zan			_QCF^X/^Y/^Z
Ougi: Zankousen			_F_D_B^A/^B/^C
Sake Kogeki			_DSB^A/^B/^C
Ougi: Resshin Zan			_QCB^X/^Y/^Z
Ougi: Kogetsu Zan			_DSF^X/^Y/^Z
Fake Senpuu Retsu Zan			_QCF^A/^B/^C
Ougi: Senpuu Retsu Zan			_QCF^X/^Y/^Z
Zero Counter			_QBD^X/^Y/^Z
Power Charge			[^B]
Throw			[~F]
Crouching Heavy Punch			[~D]
Crouching Heavy Kick			[~D]
Crouching Medium Punch			[~D]
Crouching Medium Kick			[~D]
Crouching Light Punch			[~D]
Crouching Light Kick			[~D]
Taunt			_D_D^S
