<#f0f000>:Special Moves:</>
WhiteWolfsFury			_D_F_D_B^C_+^Z
GaiaPressMax			_QCF_D_DF^X/^Y_+^Y/^Z
GaiaPress			_QCF_D_DF^X/^Y/^Z
MTB			_D_B_D_F^X/^Y_+^Y/^Z
TB			_D_B_D_F^X/^Y/^Z
EXDB			_QCB^A/^B_+^B/^C
EXSH			_B_D_F^A/^B_+^B/^C
EXSS			_QCF^X/^Y_+^Y/^Z
SSH			_B_D_F^C
MSH			_B_D_F^B
LSH			_B_D_F^A
Strong BMF			_QCB^Z
Medium BMF			_QCB^Y
Light BMF			_QCB^X
SSS			_QCF^Z
MSS			_QCF^Y
LSS			_QCF^X
SDB			_QCB^C
MDB			_QCB^B
Light KF Knee			_QCB^A
Zero Counter			_QBD^X/^Y/^Z
Throw			[~F ~F]
Roll Forward			[~F ~F]
Roll Back			[~B ~B]
Power Charge			[^B]
Crouching Light Punch			[~D ~D]
Crouching Medium Punch			[~D ~D]
Crouching Strong Punch			[~D ~D]
Crouching Light Kick			[~D ~D]
Crouching Medium Kick			[~D ~D]
Crouching Strong Kick			[~D ~D]
