<#f0f000>:Special Moves:</>
Counter Movement			[~F ~F]
Throw(Kick)			[~F ~F]
Throw(Punch)			[~F ~F]
Roll Forward			[~F ~F]
Roll Back			[~B ~B]
Power Charge			[^B]
Nidan Sokutou Geri			[~F ~F ~D ~D]
Nidan Sokutou Geri v2			[~F ~F ~D ~D]
Ryuu Hanshuu			[~F ~F]
Ryuu Hanshuu v2			[~F ~F]
Kouryuu Koukyaku Geri			[~F ~F]
Kouryuu Koukyaku Geri v2			[~F ~F]
Crouching Light Punch			[~D ~D]
Crouching Medium Punch			[~D ~D]
Crouching Strong Punch			[~D ~D]
Crouching Light Kick			[~D ~D]
Crouching Medium Kick			[~D ~D]
Crouching Strong Kick			[~D ~D]
