<#f0f000>:Special Moves:</>
Roll Forward			[~F]
Roll Backward			[~B]
MAX Steel Rain			_QCF_QCF^A/^B_+^B/^C
MAX Mine Sweeper			_QCB_QCB^X/^Y_+^Y/^Z
Steel Rain			_QCF_QCF^A/^B/^C
Mine Sweeper			_QCB_QCB^X/^Y/^Z
EX Mekong Delta Escape			_QCB^A/^B_+^B/^C
EX Mekong Delta Air Raid			_QCB^X/^Y_+^Y/^Z
EX Stinger			_DSF^A/^B_+^B/^C
EX Patriot Circle			_QCF^X/^Y_+^Y/^Z
Mekong Delta Escape			_QCB^A/^B/^C
Mekong Delta Air Raid			_QCB^X/^Y/^Z
Stinger			_DSF^A/^B/^C
Patriot Circle			_QCF^X/^Y/^Z
Zero Counter			_QBD^X/^Y/^Z
Power Charge			[^B]
Throw			[~F]
Crouching Heavy Punch			[~D]
Crouching Heavy Kick			[~D]
Crouching Medium Punch			[~D]
Crouching Medium Kick			[~D]
Crouching Light Punch			[~D]
Crouching Light Kick			[~D]
