<#f0f000>:Special Moves:</>
Roll Forward			[~F]
Roll Backward			[~B]
Tenchi Haohken			_QCF_QCF^X/^Y_+^Y/^Z
MAX Ryuko Ranbu			_QCF_QCB^X/^Y_+^Y/^Z
MAX Haoh Shokoken			_F_B_D_F^X/^Y_+^Y/^Z
Ryuko Ranbu			_QCF_QCB^X/^Y/^Z
Haoh Shokoken			_F_B_D_F^X/^Y/^Z
EX Moko Raijinsetsu			_DSB^X/^Y_+^Y/^Z
EX Kyokugenryu Renbuken			_F_D_B^X/^Y_+^Y/^Z
EX Zanretsuken			_F_B_F^X/^Y_+^Y/^Z
EX Hien Shippukyaku			_DB_F^A/^B_+^B/^C
EX Koho			_DSF^X/^Y_+^Y/^Z
EX Aerial Ko'oken			_QCF^X/^Y_+^Y/^Z
EX Ko'oken			_QCF^X/^Y_+^Y/^Z
Moko Raijinsetsu			_DSB^X/^Y/^Z
Kyokugenryu Renbuken			_F_D_B^X/^Y/^Z
Zanretsuken			_F_B_F^X/^Y/^Z
Hien Shippukyaku			_DB_F^A/^B/^C
Koho			_DSF^X/^Y/^Z
Aerial Ko'oken			_QCF^X/^Y/^Z
Ko'oken			_QCF^X/^Y/^Z
Kogeki			_DF^Z
Zero Counter			_QBD^X/^Y/^Z
Power Charge			[^B]
Throw			[~F]
Crouching Heavy Punch			[~D]
Crouching Heavy Kick			[~D]
Crouching Medium Punch			[~D]
Crouching Medium Kick			[~D]
Crouching Light Punch			[~D]
Crouching Light Kick			[~D]
