<#f0f000>:Special Moves:</>
Roll Forward			[~F]
Roll Backward			[~B]
Saishu Kessen Ougi: "Homura No Ken"			_F_D_DB_F_D_DB^X/^Y_+^Y/^Z
EX 427 Shiki: Kamukakari			_F_D_B^A/^B_+^B/^C
EX 100+ Shiki: Nataguruma			_DSF^A/^B_+^B/^C
114 Shiki: Aragami			_QCB^X/^Y_+^Y/^Z
EX 100 Shiki: Oniyaki			_DSF^X/^Y_+^Y/^Z
EX Yami Barai			_QCF^X/^Y_+^Y/^Z
427 Shiki: Kamukakari			_F_D_B^A/^B/^C
100+ Shiki: Nataguruma			_DSF^A/^B/^C
100 Shiki: Oniyaki			_DSF^X/^Y/^Z
Homuragasane			_QCB^X/^Y/^Z
Yami Barai			_QCF^X/^Y/^Z
Zero Counter			_QBD^X/^Y/^Z
Power Charge			[^B]
Throw			[~F]
Crouching Heavy Punch			[~D]
Crouching Heavy Kick			[~D]
Crouching Medium Punch			[~D]
Crouching Medium Kick			[~D]
Crouching Light Punch			[~D]
Crouching Light Kick			[~D]
Knockdown Heavy Punch			[~D]
