<#f0f000>:Special Moves:</>
Shinryuken			_QCF_D_B^A/^C_+^B/^C
Grand Dragon Smash			_QCF_D_B^A/^C_+^B/^C
Hyper Tornado Max			_QCB_D_DB^A/^C_+^B/^C
Hyper Tornado			_QCB_D_DB^A/^B/^C
Shoryuu Cannon Max			_QCF_D_DF^A/^B_+^B/^C
ShoryuuCannon			_QCF_D_DF^A/^B/^C
Hadou Burst Max			_QCF_D_DF^X/^Y_+^Y/^Z
Hadou Burst			_QCF_D_DF^X/^Y/^Z
Strong Tornado			_QCB^C
Medium Tornado			_QCB^B
Light Tornado			_QCB^A
Zenten			_QCB^X/^Y/^Z
Zero Counter			_QBD^X/^Y/^Z
Air Throw			[~F ~F]
Throw			[~F ~F]
Roll Forward			[~F ~F]
Roll Back			[~B ~B]
Power Charge			[^B]
Crouching Light Punch			[~D ~D]
Crouching Medium Punch			[~D ~D]
Crouching Strong Punch			[~D ~D]
Crouching Light Kick			[~D ~D]
Crouching Medium Kick			[~D ~D]
Crouching Strong Kick			[~D ~D]
