<#f0f000>:Special Moves:</>
Yoga Teleport FAR F			_F_D_F^X_+^Y_+^Z
Yoga Teleport FAR B			_B_D_B^X_+^Y_+^Z
Yoga Teleport Close F			_F_D_F^A_+^B_+^C
Yoga Teleport Close B			_B_D_B^A_+^B_+^C
Tandem Engine			_B_D_B^X/^Y/^Z
EX Spinning Piledriver			_FDB/_FUB/_FUF/_FDF^X_+^Y/^Z
EX Spin Kicks			_QCB^A/^C_+^B/^C
Spinning Piledriver			_FDB/_FUB/_FUF/_FDF^X/^Y/^Z
Shoryuken			_DSF^X/^Y/^Z
Spin Kicks			_QCB^A/^B/^C
Sonic Boom			_QCF^X/^Y/^Z
Zero Counter			_QBD^X/^Y/^Z
Throw			[~F ~F]
Roll Forward			[~F ~F]
Roll Back			[~B ~B]
Power Charge			[^B]
Crouching Light Punch			[~D ~D]
Crouching Medium Punch			[~D ~D]
Crouching Strong Punch			[~D ~D]
Crouching Light Kick			[~D ~D]
Crouching Medium Kick			[~D ~D]
Crouching Strong Kick			[~D ~D]
Wall Jump			[~F ~F]
