<#f0f000>:Special Moves:</>
Roll Forward			[~F]
Roll Back			[~B]
kkz			_D_D_D^X/^Y_+^Y/^Z
ashurasenkuu			_DSF^X_+^Y_+^Z
shungokusatsu			^X^X_F_+^A_+^Z
misogi			_D_D_D^A/^B_+^B/^C
tenmagouzankuu2			_QCF_QCF^X/^Y_+^Y/^Z
messatsugoushoryuu			_QCF_QCF^X/^Y/^Z
messatsugousenpuu			_QCB_QCB^A/^B/^C
messatsugourasen			_QCB_QCB^A/^B/^C
tenmashinzuiwari			_QCF_QCF^A/^B/^C
tenmagouzankuu			_QCF_QCF^X/^Y/^Z
messatsugouhadou2			_QCB_QCB^X/^Y_+^Y/^Z
messatsugouhadou			_QCB_QCB^X/^Y/^Z
EXshakunetsuhadouken			_F_D_B^X/^Y_+^Y/^Z
EXhyakkishu			_DSF^A/^B_+^B/^C
EXshoryuken			_DSF^X/^Y_+^Y/^Z
EXkuchuutatsumaki			_QCB^A/^B_+^B/^C
EXtatsumaki			_QCB^A/^B_+^B/^C
EXzankuuhadouken			_QCF^X/^Y_+^Y/^Z
EXhadouken			_QCF^X/^Y_+^Y/^Z
tenmashurettou			_D_D^X/^Y/^Z
shoryuken			_DSF^X
kuchuutatsumaki			_QCB^A
tatsumaki			_QCB^A
hyakkishuu			_DSF^A
zankuuhadouken			_QCF^X
shakunetsuhadouken			_F_D_B^X
hadouken			_QCF^X
Zero Counter			_QBD^X/^Y/^Z
powercharge			[^B]
AMK			[~D]
