<#f0f000>:Special Moves:</>
Neo Skullo Dream			^X^X_B_+^A_+^Z
Skullo Dream			^X^X_F_+^A_+^Z
Super Skullo Energy			_QCB_D_DB^A/^B_+^B/^C
Super Skullo Slider Max			_QCF_D_DF^A/^B_+^B/^C
Air Super Skullo Crusher Max			_QCF_D_DF^X/^Y_+^Y/^Z
Super Skullo Crusher Max			_QCF_D_DF^X/^Y_+^Y/^Z
Skullo Energy			_QCB_D_DB^A/^B/^C
Skullo Ball			_QCB_D_DB^X/^Y/^Z
Super Skullo Slider			_QCF_D_DF^A/^B/^C
Air Super Skullo Crusher			_QCF_D_DF^X/^Y/^Z
Super Skullo Crusher			_QCF_D_DF^X/^Y/^Z
EX Skullo Face Slam			_DSB^A/^B_+^B/^C
EX Skullo Head			_DSF^X/^Y_+^Y/^Z
EX Skullo Slider			_QCF^A/^B_+^B/^C
EX Skullo Dive			_QCF^X/^Y_+^Y/^Z
EX Skullo Crusher			_QCF^X/^Y_+^Y/^Z
Skullo Face Slam			_DSB^A/^B/^C
Strong Skullo Head			_DSF^Z
Medium Skullo Head			_DSF^Y
Skullo Head			_DSF^X
Strong Skullo Slider			_QCF^C
Medium Skullo Slider			_QCF^B
Skullo Slider			_QCF^A
Strong Skullo Dive			_QCF^Z
Medium Skullo Dive			_QCF^Y
Skullo Dive			_QCF^X
Skullo Crusher			_QCF^X/^Y/^Z
Zero Counter			_QBD^X/^Y/^Z
Throw			[~F ~F]
Air Throw			[~F ~F]
Roll Forward			[~F ~F]
Roll Back			[~B ~B]
Power Charge			[^B]
Crouching Light Punch			[~D ~D]
Crouching Medium Punch			[~D ~D]
Crouching Strong Punch			[~D ~D]
Crouching Light Kick			[~D ~D]
Crouching Medium Kick			[~D ~D]
Crouching Strong Kick			[~D ~D]
