<#f0f000>:Special Moves:</>
Raging Slash			_QCF_D_XBB^A/^B_+^B/^C
MAX Double Typhoon			_F/_B_D_B/_F_F/_B_D_B/_F^X/^Y_+^Y/^Z
Raging Typhoon			_F/_B_D_B/_F_F/_B_D_B/_F^A/^B_+^B/^C
MAX Condor Splitter			_QCF_D_DF^X/^Y_+^Y/^Z
MAX Canyon Splitter			_QCF_D_DF^X/^Y_+^Y/^Z
Double Typhoon			_F/_B_D_B/_F_F/_B_D_B/_F^X/^Y/^Z
Condor Splitter			_QCF_D_DF^X/^Y/^Z
Canyon Splitter			_QCF_D_DF^X/^Y/^Z
EX Tomahawk Buster			_DSF^X/^Y_+^Y/^Z
EX Condor Spire 2			_DSF^A/^B_+^B/^C
EX Condor Spire			_DSB^X/^Y_+^Y/^Z
EX Condor Dive			^X_+^Y_+^Z
EX Mexican Typhoon			_F/_B_D_B/_F^X/^Y_+^Y/^Z
Tomahawk Buster			_DSF^X/^Y/^Z
Condor Spire 2			_DSF^A/^B/^C
Condor Spire			_DSB^X/^Y/^Z
Condor Dive			^X/^Y_+^Y/^Z
Mexican Typhoon			_F/_B_D_B/_F^X/^Y/^Z
Roll Forward			[~F]
Roll Backward			[~B]
Normal Attack Zero Counter			_QBD^X/^Y/^Z
Power Charge			[^B]
Throw			[~F]
Air Throw			[~F]
Crouching Heavy Punch			[~D]
Crouching Heavy Kick			[~D]
Crouching Medium Punch			[~D]
Crouching Medium Kick			[~D]
Crouching Light Punch			[~D]
Crouching Light Kick			[~D]
Mexican Press			[~D]
