<#f0f000>:Special Moves:</>
Roll Forward			[~F]
Roll Backward			[~B]
Rising Force			_D_B_D_B^X/^Y_+^Y/^Z
Trinity Geyser			_QCF_QCF^X_+^Y_+^Z
MAX Over Heat Geyser			_D_F_D_F^A/^B_+^B/^C
Over Heat Geyser			_D_F_D_F^A/^B/^C
MAX Burn			_QCF_QCB^X/^Y_+^Y/^Z
MAX Triple Geyser			_D_B_D_F^X/^Y_+^Y/^Z
MAX Buster Wolf			_D_F_D_F^A/^B_+^B/^C
Buster Wolf			_D_F_D_F^A/^B/^C
Burning			_D_F_D_B^X/^Y/^Z
Power Geyser			_D_B_D_F^X/^Y/^Z
EX Power Charge 2			_DSF^X/^Y_+^Y/^Z
EX Power Charge 1			_DSF^X/^Y_+^Y/^Z
EX Burn Knuckle			_QCB^X/^Y_+^Y/^Z
EX Crack Shot			_QCB^A/^B_+^B/^C
EX Fire Kick			_B_D_F^A/^B_+^B/^C
EX Power Dunk			_DSF^A/^B_+^B/^C
EX Rising Tackle			_D_U^X/^Y_+^Y/^Z
EX Power Wave			_QCF^X/^Y_+^Y/^Z
EX Round Wave			_QCF^X/^Y_+^Y/^Z
Burn Knuckle			_QCB^X/^Y/^Z
Crack Shot			_QCB^A/^B/^C
Power Charge 2			_DSF^X/^Y/^Z
Power Charge 1			_DSF^X/^Y/^Z
Fire Kick			_B_D_F^A/^B/^C
Power Dunk			_DSF^A/^B/^C
Rising Tackle			_D_U^X/^Y/^Z
Power Wave			_QCF^X/^Y/^Z
Round Wave			_QCF^X/^Y/^Z
Zero Counter			_QBD^X/^Y/^Z
Power Charging			[^B]
Throw			[~F]
Throw			[~F]
Crouching Heavy Punch			[~D]
Crouching Heavy Punch			[~D]
Crouching Heavy Kick			[~D]
Crouching Medium Punch			[~D]
Crouching Medium Kick			[~D]
Crouching Light Punch			[~D]
Crouching Light Kick			[~D]
