<#f0f000>:Special Moves:</>
Shingan Kuzu Otoshi			_QCF_QCB^Z_+^C
MAX Chou Kasane Ate			_QCF_QCF^X/^Y_+^Y/^Z
Chou Kasane Ate			_QCF_QCF^X/^Y/^Z
EX Stunning Grab			_QCB^X/^Y_+^Y/^Z
EX Air Kasane Ate			_QCF^X/^Y_+^Y/^Z
EX Taikuu			_DSF^X/^Y_+^Y/^Z
EX Kasane Ate			_QCF^X/^Y_+^Y/^Z
Stunning Grab			_QCB^X/^Y/^Z
Air Kasane Ate			_QCF^X/^Y/^Z
Taikuu			_DSF^X/^Y/^Z
Kasane Ate			_QCF^X/^Y/^Z
Roll Forward			[~F]
Roll Backward			[~B]
Normal Attack Zero Counter			_QBD^X/^Y/^Z
Power Charge			[^B]
Throw			[~F]
Crouching Heavy Punch			[~D]
Crouching Heavy Kick			[~D]
Crouching Medium Punch			[~D]
Crouching Medium Kick			[~D]
Crouching Light Punch			[~D]
Crouching Light Kick			[~D]
