<#f0f000>:Special Moves:</>
Lv3			_QCF_QCF^A/^B/^C_+^X/^Y/^Z
Max Crazy Puncher			_QCB_QCF^X_+^Y
Crazy Puncher			_QCB_QCF^X
Max Champion Puncher			_QCF_QCF^X/^Y_+^Y/^Z
Champion Puncher			_QCF_QCF^X/^Y/^Z
DashPuncher			_B_F^X/^Y_+^Y/^Z
ForbiddenEagle			_DSF^X/^Y_+^Y/^Z
Puncher Weaving			_QCB^X/^Y_+^Y/^Z
Puncher Vision(Fwd)			_QCF^A_+^B
Puncher Vision(Back)			_QCB^A_+^B
Machine Gun Puncher			_QCF^X/^Y_+^Y/^Z
Zero Counter			_QBD^X/^Y/^Z
Throw			[~F ~F]
Power Charge			[^B]
Super Jump			[~U ~U]_D/_DB/_DF_U/_UF/_UB
SIdestep/Dodge			[~F ~F]
Run /Dash Back			_XBB/_XFF
