<#f0f000>:Special Moves:</>
Roll Forward			[~F]
Roll Backward			[~B]
Cannibal Corpse			_QCF_QCB^X/^Y_+^Y/^Z
MAX Overkill (Hyper Canceled)			_DB/_FDB/_FUB/_FUF/_FDF_QCF/^X/^Y_UF/_+_U/^Y/^Z
MAX Overkill			_DB/_FDB/_FUB/_FUF/_FDF_QCF/^X/^Y_UF/_+_U/^Y/^Z
MAX Withering Surface			_QCF_QCF^X/^Y_+^Y/^Z
MAX NegativeGain			_F_D_DB_F_D_DB^A/^B_+^B/^C
Overkill			_DB_QCF_UF_U_D^X/^Y/^Z
Withering Surface			_QCF_QCF^X/^Y/^Z
Negative Gain			_F_D_DB_F_D_DB^A/^B/^C
EX Gorefest			_F_D_B_F^X/^Y_+^Y/^Z
EX Deicide			_B_D_F^A/^B_+^B/^C
Nailbomb			_B_D_F^X/^Y_+^Y/^Z
EX Ravenous			_QCB^A/^B_+^B/^C
EX Outrage			_QCB^A/^B_+^B/^C
EX Mayhem			_QCB^X/^Y_+^Y/^Z
EX Deicide Slayer			_DSF^A/^B_+^B/^C
Gorefest			_F_D_B_F^X/^Y/^Z
Deicide			_B_D_F^A/^B/^C
Blackend			_B_D_F^X/^Y/^Z
Ravenous			_QCB^A/^B/^C
Outrage			_QCB^A/^B/^C
Mayhem			_QCB^X/^Y/^Z
Deicide Slayer			_DSF^A/^B/^C
Zero Counter			_QBD^X/^Y/^Z
Power Charge			[^B]
Throw			[~F]
Crouching Heavy Punch			[~D]
Crouching Heavy Kick			[~D]
Crouching Medium Punch			[~D]
Crouching Medium Kick			[~D]
Crouching Light Punch			[~D]
Crouching Light Kick			[~D]
