<#f0f000>:Special Moves:</>
SFIV Sorai Rengeki			_QCF_D_DF^A/^B/^C_+^B/^C/^A
SFIV You Hou			_QCB_D_DB^X/^Y_+^Y/^Z
Hiten Souryujin			_QCB_QCB^A/^B/^C
Max Sorai Rengeki			_QCF_QCF^X/^Y/^Z_+^Y/^Z/^X
Sorai Rengeki			_QCF_QCF^X/^Y/^Z
Genei Jin			_QCF_D_DF^A/^B/^C
ZenpouTenshin			_HCB^A/^B_+^B/^C
Nishokyaku			_DSF^A/^B_+^B/^C
Tetsuzankou			_DSF^X/^Y_+^Y/^Z
Kobokushi			_QCB^X/^Y_+^Y/^Z
Zesshou Hohou			_QCF^X/^Y_+^Y/^Z
Zero Counter			_QBD^X/^Y/^Z
Throw			[~F ~F]
Power Charge			[^B]
Super Jump			[~U ~U]_D/_DB/_DF_U/_UF/_UB
SIdestep/Dodge			[~F ~F]
Raigeki Shuu			~DF^A
