<#f0f000>:Special Moves:</>
Haou Raiouken			_QCF_QCF^A/^B/^C_+^X/^Y/^Z
Yuri Chou Enbu			^X^X_F_+^A_+^Z
Max Hien Hou'ou Kyaku			_QCF_QCB^A/^B_+^C/^B
Max Hien Rekkou			_QCF_QCF^X/^Y_+^Z/^Y
Max Haou Shoukou Ken			_F_B_D_F^X/^Y_+^Z/^Y
Hien Houou Kyaku			_QCF_QCB^A/^B/^C
Hien Rekkou			_QCF_QCF^X/^Y/^Z
Hyakuretsu Binta			_F_D_B^A/^B_+^B/^C
Saifa			_QCB^X/^Y_+^Y/^Z
Arata Raiou Ken			_QCF^A/^B_+^B/^C
Raiou Ken			_QCF^X/^Y_+^Y/^Z
EX Yuri Double Chou Upper			_DSF^X/^Y_+^Y/^Z
Yuri Chou Upper			_DSF^X/^Y_+^Y/^Z
Ko'ou Ken			_QCF^X/^Y_+^Y/^Z
Zero Counter			_QBD^X/^Y/^Z
Throw			[~F ~F]
Air Throw			[~F ~F]
Power Charge			[^B]
Super Jump			[~U ~U]_D/_DB/_DF_U/_UF/_UB
SIdestep/Dodge			[~F ~F]
Run /Dash Back			_XBB/_XFF
Yuri Ori			[~B ~B]
