<#f0f000>:Special Moves:</>
Light Kung Fu Knee			_XFF^A
Strong Kung Fu Knee			_XFF^B
Light Kung Fu Palm			_QCF^X
Strong Kung Fu Palm			_QCF^Y
Light Kung Fu Upper			_DSF^X
Strong Kung Fu Upper			_DSF^Y
Light Kung Fu Blow			_QCB^X
Strong Kung Fu Blow			_QCB^Y
High Kung Fu Blocking High			_F^X
High Kung Fu Blocking Low			[~D]_F^X
High Kung Fu Blocking Low			_F^X
Light Kung Fu Zankou			_QCF^A
Strong Kung Fu Zankou			_QCF^B

<#f0f000>:Hyper Moves:</>
Smash Kung Fu Upper <#bebebe>(1000)</>			_QCB_QCB^X/^Y
Triple Kung Fu Palm <#bebebe>(1000)</>			_QCF_QCF^X/^Y
Fast Kung Fu Knee <#bebebe>(330)</>			_XFF^A_+^B
Fast Kung Fu Palm <#bebebe>(330)</>			_QCF^X_+^Y
Fast Kung Fu Upper <#bebebe>(330)</>			_DSF^X_+^Y
Fast Kung Fu Blow <#bebebe>(330)</>			_QCB^X_+^Y
Far Kung Fu Zankou <#bebebe>(330)</>			_QCF^A_+^B
